class,AP@IoU=0.50,AP@IoU=0.55,AP@IoU=0.60,AP@IoU=0.65,AP@IoU=0.70,AP@IoU=0.75,AP@IoU=0.80,AP@IoU=0.85,AP@IoU=0.90,AP@IoU=0.95,AP@IoU=0.50:0.95
R0402,0.882083,0.882056,0.87814,0.7947,0.790381,0.691503,0.532538,0.278653,0.107187,0.012121,0.584936
R0603,0.905614,0.904567,0.904567,0.904567,0.904567,0.901962,0.798812,0.655607,0.403655,0.015748,0.729966
LED0603,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.905279,0.796448,0.520058,0.043817,0.772015
R0804,0.887997,0.883793,0.879418,0.879418,0.879418,0.879418,0.877231,0.773273,0.635755,0.15943,0.773515
R2512,1,1,1,1,1,1,1,1,1,0.342197,0.93422
CAP5053,1,1,1,1,1,1,1,1,0.761333,0.173797,0.893513
LQFP7070,1,1,1,1,1,1,1,1,1,0.689585,0.968958
SOIC-8,1,1,1,1,1,1,1,1,0.907197,0.303696,0.921089
SOT-23,1,1,1,1,1,1,1,1,0.565083,0.031898,0.859698
TSSOP-20,1,1,1,1,1,1,0.897306,0.824916,0.681818,0.184132,0.858817
LED0603Flip,0.994814,0.994814,0.994814,0.994814,0.994814,0.994814,0.994814,0.622865,0.197568,0,0.778413
,,,,,,,,,,,0.825012727
