class,AP@IoU=0.50,AP@IoU=0.55,AP@IoU=0.60,AP@IoU=0.65,AP@IoU=0.70,AP@IoU=0.75,AP@IoU=0.80,AP@IoU=0.85,AP@IoU=0.90,AP@IoU=0.95,AP@IoU=0.50:0.95
R0402,0.846523,0.767689,0.767440,0.758310,0.727642,0.636007,0.439567,0.221746,0.098994,0.001102,0.526502
R0603,0.900797,0.900797,0.900797,0.899820,0.898261,0.878861,0.774914,0.601379,0.276105,0.040404,0.707214
LED0603,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.879305,0.652876,0.149458,0.001025,0.713721
R0804,0.879453,0.873866,0.871466,0.869435,0.868477,0.865140,0.855492,0.766340,0.490400,0.029447,0.736951
R2512,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.861471,0.088570,0.895004
CAP5053,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.380165,0.295455,0.867562
LQFP7070,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.121212,0.912121
SOIC-8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.640249,0.010101,0.865035
SOT-23,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903275,0.247309,0.000000,0.815058
TSSOP-20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.873737,0.031818,0.890556
LED0603Flip,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.370718,0.076364,0.005348,0.745243
