class,AP@IoU=0.50,AP@IoU=0.55,AP@IoU=0.60,AP@IoU=0.65,AP@IoU=0.70,AP@IoU=0.75,AP@IoU=0.80,AP@IoU=0.85,AP@IoU=0.90,AP@IoU=0.95,AP@IoU=0.50:0.95
R0402,0.795086,0.795086,0.793012,0.791733,0.780436,0.663831,0.479476,0.264299,0.016098,0.000000,0.537906
R0603,0.906085,0.905582,0.905582,0.905582,0.903608,0.894538,0.787680,0.627968,0.287526,0.060606,0.718476
LED0603,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.903417,0.767596,0.249450,0.009642,0.738465
R0804,0.886759,0.885141,0.877454,0.877454,0.870681,0.858906,0.770674,0.732846,0.469408,0.030458,0.725978
R2512,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.722602,0.262278,0.898488
CAP5053,1.000000,1.000000,1.000000,1.000000,1.000000,0.884849,0.884849,0.690909,0.391608,0.108392,0.796061
LQFP7070,1.000000,1.000000,1.000000,1.000000,1.000000,0.874459,0.714286,0.714286,0.454545,0.194805,0.795238
SOIC-8,1.000000,1.000000,1.000000,1.000000,1.000000,0.887121,0.887121,0.885227,0.634208,0.077589,0.837127
SOT-23,1.000000,1.000000,1.000000,1.000000,0.859504,0.741047,0.713223,0.561983,0.199725,0.004132,0.707961
TSSOP-20,1.000000,1.000000,1.000000,1.000000,1.000000,0.696970,0.562290,0.464647,0.424242,0.138937,0.728708
LED0603Flip,1.000000,1.000000,1.000000,1.000000,1.000000,0.896616,0.896616,0.640012,0.087273,0.000000,0.752052
